event1_all_repo_name,event2_all_repo_name,count
npm/npm,zeit/hyper,6
reactjs/redux,facebook/react,6
Microsoft/vscode,docker/docker,6
oblador/react-native-vector-icons,aksonov/react-native-router-flux,6
webpack/webpack,moment/moment,6
Microsoft/TypeScript,driftyco/ionic,6
yarnpkg/yarn,rails/rails,6
facebook/react,reactjs/redux,6
yarnpkg/yarn,angular-ui/ui-router,6
reactjs/react-router-redux,ReactTraining/react-router,6
wulkano/kap,yarnpkg/yarn,6
koajs/koa,nodejs/node,6
apple/swift-evolution,apple/swift,6
facebook/react,eslint/eslint,6
angular-ui/ui-router,yarnpkg/yarn,6
moment/moment,webpack/webpack,6
PowerShell/PowerShell,Microsoft/vscode,6
ReactTraining/react-router,reactjs/react-router-redux,6
yarnpkg/yarn,Microsoft/BashOnWindows,6
lodash/lodash,yarnpkg/yarn,6
prometheus/prometheus,kubernetes/kubernetes,6
ReactTraining/react-router,erikras/redux-form,6
angular/angular-cli,driftyco/ionic,6
angular/material,angular/material2,6
angular/material2,ngrx/store,6
babel/babel,ReactTraining/react-router,6
scikit-learn/scikit-learn,fchollet/keras,6
facebook/fresco,facebook/react-native,6
Microsoft/vscode,PowerShell/PowerShell,6
atom/atom,docker/docker,6
erikras/redux-form,ReactTraining/react-router,6
DefinitelyTyped/DefinitelyTyped,nodejs/node,6
yarnpkg/yarn,wulkano/kap,6
eslint/eslint,facebook/react,6
ngrx/store,angular/material2,6
docker/docker,Microsoft/vscode,6
atom/atom,npm/npm,6
reactjs/react-redux,facebook/react,6
nodejs/node,DefinitelyTyped/DefinitelyTyped,6
driftyco/ionic,Microsoft/TypeScript,6
styled-components/styled-components,webpack/webpack,6
nodejs/node,koajs/koa,6
rails/rails,yarnpkg/yarn,6
facebook/react,reactjs/react-redux,6
mochajs/mocha,npm/npm,6
docker/docker,mitchellh/vagrant,6
aksonov/react-native-router-flux,oblador/react-native-vector-icons,6
docker/docker,atom/atom,6
kubernetes/kubernetes,prometheus/prometheus,6
reactjs/redux,reactjs/react-redux,6
prometheus/prometheus,docker/docker,6
facebook/react-native,facebook/fresco,6
mxstbr/react-boilerplate,webpack/webpack,6
apple/swift,apple/swift-evolution,6
npm/npm,atom/atom,6
mitchellh/vagrant,docker/docker,6
webpack/webpack,mxstbr/react-boilerplate,6
angular/material2,angular/material,6
fchollet/keras,scikit-learn/scikit-learn,6
redux-observable/redux-observable,yarnpkg/yarn,5
callemall/material-ui,yarnpkg/yarn,5
facebook/react-native,Microsoft/TypeScript,5
facebook/jest,atom/atom,5
facebook/graphql,graphql/graphql-js,5
angular/angular,angular/material,5
webpack/webpack,mochajs/mocha,5
bitcoin/bitcoin,zcash/zcash,5
webpack/webpack,react-toolbox/react-toolbox,5
electron/electron,DefinitelyTyped/DefinitelyTyped,5
nodejs/node,facebook/flow,5
fchollet/keras,Theano/Theano,5
PowerShell/PowerShell,Microsoft/BashOnWindows,5
react-bootstrap/react-bootstrap,babel/babel,5
webpack/webpack,rollup/rollup,5
DefinitelyTyped/DefinitelyTyped,erikras/redux-form,5
davecheney/httpstat,golang/go,5
servo/servo,jonathandturner/rustls,5
mxstbr/react-boilerplate,ReactTraining/react-router,5
yarnpkg/yarn,gatsbyjs/gatsby,5
square/retrofit,realm/realm-java,5
yarnpkg/yarn,avajs/ava,5
airbnb/react-dates,yarnpkg/yarn,5
Microsoft/TypeScript,rollup/rollup,5
facebook/relay,facebook/jest,5
Microsoft/TypeScript,babel/babel,5
golang/go,kubernetes/minikube,5
yarnpkg/yarn,JedWatson/react-select,5
infinitered/ignite,facebook/react-native,5
electron/electron,nwjs/nw.js,5
webpack/webpack,request/request,5
graphql/graphql-js,facebook/graphql,5
reactjs/redux,babel/babel,5
mitchellh/vagrant,ansible/ansible,5
ruby/ruby,rails/rails,5
facebook/jest,Khan/aphrodite,5
avelino/awesome-go,golang/go,5
facebook/jest,DefinitelyTyped/DefinitelyTyped,5
nodejs/node,zeit/next.js,5
airbnb/javascript,webpack/webpack,5
babel/babel,reactjs/redux,5
spf13/hugo,golang/go,5
vuejs/vue-router,vuejs/vue-devtools,5
webpack/webpack,airbnb/javascript,5
